modelId,rating,ratingDate,review,reviewId
4002178_M,3,08/15/2017,"too small It was the second pair of this model I have ordered in exactly the same size. The shoes, however, feel at least 1/2 size too small even though the first pair fits perfectly. Very disappointed as I'm not able to wear them and can't return them either.",92123050
4002178_M,5,07/10/2017, I used to love the Adios 2.0 and tried these and can't fault them either. I've done about 160 miles of running in them and will buy another pair when they're discounted on sale.,89969398
4002178_M,2,07/08/2017, Too tight around the toes. The most uncomfortable Adidas I have ever purchased.,89918548
4002178_M,5,06/22/2017,"Really quick and light, it's like you aren't wearing shoes I customised my own to match with my kit. It has my name in them too which I like. The main problem was picking the width, I contacted Adidas for advise and guidance on this and after a short period of conversing, they said they don't have a guide. I opted for the medium ones. These are really good, light and quick trainers, I am looking forward to racing in these. I have noticed small part of the sole has already fallen off after less than 50 miles.",89061405
4002178_M,2,05/23/2017,"Unhappy Not happy at all, definitely half a size too small which makes them unwearable, squashing my toes at the end.",86923123
4002178_M,4,05/22/2017,Great running shoe that's a bit too small. Size up 1/2 size Great running shoe that could be perfect my making the toe box a bit wider. Need to size up 1/2 size in order to get enough width.,86844513
4002178_M,5,05/13/2017,"Worth the money, glad I bought them This was my first custom shoe and I'm so happy I made the purchase. Very rare for me to find shows that fit do well, and the ability to do a unique design is fun.",86453275
4002178_M,5,03/31/2017, I found the shoes amazing and found it fun to costomize them,83682518
4002178_M,5,03/24/2017,"Best running shoes i've had in years I bought these shoes for casual wear but also to work out in occasionally. Used to run a lot, now I'm mostly higher intensity lift/crossfit where i need to more stability. I started doing more running to train for a race. Let me tell you, these shoes are light, feel great in just moderate runs and speed work. Huge fan. Will buy another pair. Oh, and i've gotten a lot of compliments on the shoe itself.",83293893
4002178_W,1,12/18/2017,VERY DISAPPOINTED!!! The product is nothing like the picture! I am totally disappointed. These are summer see-through shoes!,98256745
4002178_W,4,08/15/2017, beautifullllllllllllllllllllllllllllllllllllllllllll,92077037
4002178_W,1,05/08/2017,Disappointing The actual product came out looking much different than the online rendering.,86186230
4002178_W,1,04/10/2017, These shoes look nothing like the picture! I expected a grey color...they aren't grey at all..more like cream..I'm so disappointed that I spent so much money on a pair of shoes that I hate and can't return.,84185693
4002178_W,1,02/26/2017,color sample was way off I ordered this shoe because i loved the displayed blush pink color. However when I ordered them they came out much more of a neon salmon color and it was nothing like I expected. I would have never ordered the shoe if the online color was portrayed more accurately. I'm very dissapointed. The neon of the shoes don't totally show up in the picture i took but you can still tell it is far off from the online sample.,82209445
4002179_M,4,10/01/2017,A good choice to customize and wear. I like this because it's a product you design and it looks nice. Well done adidas :),93749026
4002179_M,1,08/16/2017,The green color of my shoe does not resemble the image at all I've ordered 5 custom shoes over the past 4 years and 3 of the 5 have not lived up to expectations. The green color of my most recent purchase looks nothing like the green presented on the site. Two of my other purchases had the bottom of the sneaker peel off within 2 weeks of use. The other 2 purchases I'm pleased with-,92277701
4002179_M,5,06/27/2017," i've had the mi Energy Cloud 2 weeks now, i customized them because i wanted to try the energy cloud tech and i really love the look of the trainers, i can say definitively these trainers incredibly comfortable and it's actually a really beautiful looking running shoes, i love it 10/10 for comfort",89274335
4002179_M,5,05/11/2017,"Love them They are really soft, you can feel how the show absorbs shock on a heel. A grip is perfect. They are really light. Perfect pair of shoes",86396949
4002179_W,5,09/15/2017,awesome sneakers They are comfortable sneakers for working out and running.,93292710
4002179_W,1,07/30/2017,"Too bulky & squeaky I got all black with white soles and they look very nice, I have gotten a lot of compliments on them. But I am very disappointed with the quality for how much I paid. The soles are much bigger than represented and for some reason the sole of my right shoe makes a loud squeak and it will not go away!! It's like it starts sticking to the ground and squeaks. Idk how to fix it! If anyone knows how to please reply.",91261687
4002179_W,3,06/26/2017,Too bulky The sole is larger than whats represented . Looks very bulky. Not what was expected and dont like them.,89167067
4002179_W,4,06/11/2017,great purchase Not use to buying bright colour trainers but these are gorgeous.,88099205
4002255_W,5,09/23/2017,Best runing shoes ever!!! This is unikale shoes!I run whit them in alle seasons!eaven in snow!600 km we run together. I need fore new one....but ...tooooo expensive :(,93488677
4002435_M,5,09/28/2017,Best Buy Ever The best thing Adidas do is design your I have a great pair of trainers that are absolutely to my taste,93680247
4002435_M,5,09/10/2017,Most amazing shoe I have ever bought Absolutely love the product - customized it to match my start-up's colors and love them!!,93117712
4002435_M,2,08/26/2017,"Not great quality customization is to hard please Adidas make customizing easier 
and make it better quality",92677641
4002435_M,5,08/07/2017,My Best Purchase Ever Its So Confortable And Light makes me feel way faster,91625201
4002435_W,4,12/25/2017,"They Are Better Than What I Was Expecting! This is an amazing product! The colours are vibrant and beautiful, they have decent quality. Overall these are a greatbuy! I bought Mi Superstar Adidas sneakers that are white, with an iridescent heel patch and stripes. 100% recommend getting them iridescent asit is shimmery and beautiful!",98445619
4002435_W,4,12/19/2017,Best quality and design the design is timeless ! you can use this shoes all the time ( for work or for walk ),98292489
4002435_W,3,12/01/2017,"The shock red looks more pink. I know that's my fault, but i can't wear them with any of my KU shirts or shorts like i intended. The shoes were great the shock red on my computer looked red, but in person looks more pink.  Worn once and boxed them back up.  It was my fault for not checking more into ""shock red""",97701942
4002435_W,1,11/30/2017,NOWHERE NEAR WHAT WAS ORDERED! The design and the actual item has a massive difference and the quality feels so poor. Big waste of money.,97661801
4002435_W,4,11/12/2017,Love the colors and designs! Why can't I have my name written on the shoe? I would love it if you can have my name tag on the shoe.,97001452
4002435_W,4,11/02/2017," I wish these were as comfortable as my standard Superstar Adidas, but they are not. The shoe feels hard when I walk in them. More cushion please! Otherwise, it's a cool shoe, no doubt!",96160849
4002435_W,4,11/02/2017,Nice looking shoe They are much narrower than my old superstars so I was disappointed. They're still comfortable though.,96159796
4002435_W,2,10/23/2017,"not true customization when mi adidas first came out for shelltoes, you could really get them any way you liked. now there are some limitations that don't make sense, and i can no longer get shoes i have ordered previously. so i don't order from here anymore. i've spoken with customer service about this many times, to no avail. i continue to check back to see if things have changed and continue to be disappointed. i was a dedicated lifelong customer and now i no longer buy shoes from adidas.",94589467
4002435_W,5,10/16/2017,They look just like i expected great! Comfortable nice fitted colors are very well and leather,94399157
4002435_W,5,10/07/2017,"I like them! I just wish you guys made this customizable feature for the Addidas Matchcourt! I would buy so many! Nice and comfy, but them matchcourts tho! Please add a matchcourt to the mix.",94029226
4002435_W,3,09/04/2017,What happened to all the great customized options? No more suede or snakeskin! These options are boring and can be bought in stores already. I was looking forward to getting my suede shoes :(,92918215
4002435_W,1,08/31/2017,Lack of colour options Adidas Superstar RT colour options are very poor they need to add more colour options to their tongue logo/superstar logo & sock liner.,92839226
4002435_W,5,08/29/2017,I get compliments every time i wear them. People dont believe I custom designed them. My shoe looka exactly like I designed. Only thing i wish I could do is change colors of each stripe. Also i wish there was more variety in colors. Im making another pair now!,92751981
4002435_W,1,08/23/2017," Terrible, nothing like what the app leads you to believe. Do NOT waste your money & time",92557943
4002435_W,5,08/09/2017,"Best purchase ever BEST PURCHASE EVER
I like the new design very much",91795501
4002435_W,5,07/20/2017,"Wicked! These were a good head turner at a festival, loved the reactions ""where did you get those from?!""",90699198
4002435_W,5,07/18/2017,DEFINITELY WORTH YOUR LOVE AND MONEY. I love these pair of shoes particularly because the design and quality are all flawless and the comfort is just crazy comfortable. DEFINITELY WORTH YOUR LOVE AND MONEY.,90580044
4002435_W,5,06/30/2017,"Really nice Shoes Very nice shoe. I like the material, and they hold up very well in the winter.",89547593
4002435_W,5,06/23/2017,Beautiful... Who doesn't love ADIDAS SUPERSTARS!!!! The are iconic.,89081132
4002435_W,5,06/21/2017,"Love my custom sneakers! Adidas offers the best merchandise at great prices, Awesome customization options for a variety of shoes",89019140
4002435_W,5,06/17/2017,"Best quality ever It mades so fast and look very great. Shipping olso coming fast and when u look at it, that makes u superstar :)",88818529
4002435_W,5,06/15/2017,"AWESOME AWESOME QUALITY........lack of choices of materials, colors and stuff.",88712362
4002435_W,5,06/08/2017,"Thanks for making a 41 year old look relevant. Well made, timely delivered and great customer service.",87970799
4002435_W,2,06/07/2017,"Unsatisfied due to manufacturing error I ordered these to wear in the Pride Parade because I always wear Adidas in the parade. I ordered gold metallic stripes and a gold metallic tongue logo that is only available on the Superstar 80s. Somehow they made a manufacturing error and put the Black Gold tongue logo that is only available on the Superstar RTs. Also, the personalized engraving is so faint it's barely visible. Hopefully, Adidas will rectify this situation for me and then I will revise my review. But even then, I will never have a new pair on time to wear in the Pride Parade. Not good.",87912654
4002435_W,5,05/21/2017, Love them❤️ Afortable price for good quality shoes,86714727
4002435_W,5,05/12/2017," It's perfect and out standing ,, I would recommend it to anyone",86397514
4002435_W,2,05/04/2017," Shoes look nice, but the tongue is too hard for patent leather.",86094885
4002435_W,5,04/22/2017,Best shoes ever Because they cute n confirmation. They very good they fit very well and they make me look fly I guess,84650986
4002435_W,5,04/14/2017,"Quality shoes and materials Good Quality, what you expect is what you will get.. QUALITY. The only downside is lack of choices of materials, colors and stuff.",84374570
4002435_W,4,04/12/2017,"Great product but more options needed! Great product, but i really wish there was a much bigger customization range in superstars. more colors and different ire-decent options would be good along with image placement and names/text on RT model. other than that a really great product. x3 pairs purchased customized in one go =) Adidas email me to discuss ideas, i am willing to help.",84271007
4002435_W,5,04/08/2017,Waw this is amazing waw Becaus its confortable amazing and have The perfect size,84119222
4002435_W,5,04/08/2017,"Awesome shoes! My Superstars came super quickly and look fantastic! I am definitely going to order more. The only thing that would make them cooler, was if they were made in the USA.",84086654
4002435_W,5,04/06/2017,nicely amazing how I can get it with my name in the back of desig,84022478
4002435_W,4,04/06/2017,"Pretty much what you see, just don't get the monogram. The shoe is pretty much exactly what I wanted. The problem I have though (and it's a pretty big one to me) is, the monogram is much smaller than shown and barely visible. What I wanted printed on the shoe is for my wedding day, and you can barely see it. .",83985382
4002435_W,5,03/31/2017,Perfect i always get much more than what i expect from adidas yet this has been one of my best order.,83675095
4002435_W,3,03/27/2017,good The quality is really good .its comfortable and I love showing off with them,83530179
4002435_W,5,03/27/2017,Never Fade Fashion Shoes... love it perfect amazing......................................,83441788
4002435_W,5,03/25/2017,"Great inexpensive shoe I love this shoe. Although it does crease easily, the comfort is amazing.",83383997
4002435_W,5,03/14/2017,"One of my best purchases of the year so far!! Comfortable, smart ,eye catching and worth the money",82784931
4002435_W,1,02/25/2017,"Not happy with the colour The colour of the trainer that's arrived is a totally different to what was designed. I'm happy with everything apart from the colour! The colour on the website is a dark navy, this colour is not the same its lighter. Not happy, I love adidas products but this was a real let down.",82099637
4002435_W,1,02/24/2017, i don't like it because the are terrible shoes boll,82090098
4002435_W,1,02/24/2017,"Sad Wait, what happened to all the super nice options for the superstars last year? Now only the Stan smiths can be properly customized?",82068833
4002435_W,3,02/01/2017,breast cancer survial the shoe is a stlyish urban brand for the hood just right for any age.,80728552
4002435_W,4,01/20/2017," Nice. I do love the ""Scarlet"" color. However, not a huge fan of the toe matching the base. It doesn't quite look right, and the difference in materials seems to be the reason. I love the chunky, rounded aesthetic of the toe, but personally, I wish the toe material matched the base material for a more uniform look. This is probably fine if you prefer to keep the toe linked to the outsole, and not the base as I wanted to.",79021076
4002435_W,3,01/19/2017,"what about purple, yellow, orange, green or any other colors theres not enough colors to choose from and why can't i get the tounge logo to match the stripes? plus the stupid nickname",79008340
4002435_W,5,01/18/2017,Just right for me. Just right for me. Love to be able to express myself.,78937873
4002435_W,5,01/18/2017,awesome quality i felt the most comfort ever and i was very happy and i love it,78893967
4002435_W,5,01/11/2017,Definate head turners when I wear them. They're Adidas and that's enough for me. All I wear,78341159
4002435_W,5,11/28/2016,"Will purchase more sooner Size is perfect,very comportable to use and the quality is perfect",76042284
4002435_W,1,10/28/2016,Lame colors The colors are wack. I liked the custom color selection from a couple of years ago,73959140
4002435_W,5,10/10/2016,best purache ever nice buy good price too good coloring and nice swag,72538913
4002435_W,5,10/02/2016,"Best adidas ever ! i like because is originals ,so extraordinary ,cool , and i think al loves this color.",72224197
4002556_M,5,12/11/2017, Wow nicest pair of shoes I have ever seen by Adidas,98050115
4002556_M,5,12/11/2017,"2nd pair of mi-adidas Great fit, now break in necessary, comfortable from the start. A bit warm, but that can be a good thing if your running outside.",97995520
4002556_M,5,11/13/2017,Boost technology killed everyone else! Style and comfort the best! Greatest sneakers ever! Will buy more models and colors!,97039419
4002556_M,5,10/07/2017," Super comftorable, feels like you are walking on a cloud. Wear them all day & they go well with everything ! You can't go wrong with any of Adidas Boost shoes !",94016669
4002556_M,5,09/13/2017," They are good and perfect to use, ilike it sow much",93230925
4002556_M,3,09/11/2017, very comfortable but after about a month they were starting to fall apart,93127301
4002556_W,2,10/19/2017," Beautiful looking sneaker, I designed my own color, so paid an extra $40 I think, something like that ...
I feel like I am wearing duck feet they are so wide, I am a true 8.5 and these are not true to size, they are more like a 9, there is WAY TOO MUCH ROOM in this sneaker, so disappointing, If I can return them I will 
On the positive, very light weight, comfortable, quality is good. 
The box they came in was DESTROYED !!!!!! not much care in packaging to send out",94507118
4002556_W,5,09/26/2017, yes i would recommend this product. its very comfortable and great for running.,93574264
4002556_W,5,08/18/2017,Fantastic So comfy. Just fantastic. Would recommend to everyone. They are white.. and they are shoes.,92339995
GIV93,5,12/26/2017,Best shoes Really hesitant about adidas but they are doing some great things and these shoes are the best quality and feeling shoes I’ve ever had.,98467294
GIV93,5,12/21/2017,Love them They are stylish and comfortable . I love the support that they provide .,98347444
GIV93,5,12/16/2017,"Loved the sale Very today like foot ware, I'm a older athlete who like to keep his foot ware more in style this shoe makes that happens for me.",98188438
GIV93,5,12/15/2017, Nice shoe lightweight and comfortable love it perfect size and for the price can’t beat that,98169984
GIV93,5,12/11/2017, Price and Quality are really good.   Appearance is nice - Trendy.,98046736
GIV93,5,12/07/2017, Amazing product love it would buy again. Good fit and finishe.,97904742
GIV93,5,08/05/2017,Great workout shoes I use these shoes for indoor use and they have great traction and surprisingly good support. I use them to play racquetball and have loved them. I also use them in the gym and they have been great. They are really flexible yet sturdy. Some of the most comfortable shoes I have owned.,91573991
GIV93,5,07/04/2017," very comfortable, the sole is the best part of the shoes",89761220
GIV93,5,07/04/2017,Awesome Very comfy shoe and it's very stylish as well. Would recommend to anyone.,89699528
GIV93,5,06/27/2017,"My son loves these! These were for my son & he LOVES them!!!
He would like a dozen for free please!",89237670
GIV93,5,06/16/2017,"This shoe is fantastic and very comfortable. Great fit, light and comfortable. Great colorway!!",88732483
GIV93,5,06/02/2017,Great buy Feel really comfortable and lightweight and they look great!,87595155
GIV93,5,05/31/2017, They are Very comfortable shoes. A little bigger then expected though,87449194
GIV93,4,04/24/2017,"Amazing shoe but dirty very very fast I love adidas and almost everything about this shoe. The one thing that I do not like is that these shoes are dirt magnets. The first day I wore them, I saw marks all over the shoe. Even when wearing them casually indoors, these shoes tend to get dirty very fast.",84722183
GIV93,5,04/19/2017,They are really good It is a really comfortable shoe that I would recommend to anyone that enjoys running. I really like the design  and there are also many different colour options,84554817
GIV93,4,04/05/2017," Very comfortable and good looking shoes, great support for a good run.",83982487
GIV93,5,03/10/2017,"Very good value Very comfortable, reliable, and attractive shoes. The material used is a bit thin and flimsy and they get dirty quite easily, but I still think these shoes are worth picking up, especially in this colorway",82653104
GIV93,3,03/05/2017, The colour is completely different to what is shown.,82442227
GIV93,4,03/01/2017,"To dirty get black READ THIS! Thes shoes get so dirty so easily. DO NOT BUY TGIS COLOR. I naught these and when I pulled them out of the box and put them on, my sick left a dirt mark on the front of the shoe. So I thought I'll just clean it. Wrong! The tiniest bit of water will leave nasty brown marks in the shoe. These shoes are awesome, comfy, and only reflect on the back tab. I have friends that have pearchesed gray and black on white, and gray reflect well and stay clean while black on white look awesome and they stay clean too",82336413
GIV93,2,02/24/2017,Do not buy I am a size 13 and thought about using the 15% deal on your birthday so I bought a pair of the alphabounce HPCs and was not very impressed when I tried them on and they were too big and too wide for my foot and I have a fairly wide foot so I'm going to try a 12.5 and hope they fit like 13s. I would not recommend buying these. I definitely liked the nmds fit much more.,82094639
GIV93,4,02/03/2017,Best shoes i got I love the shoe. But they get dirty very easily. I'm wondering if any can help me by telling me how to clean them.,80768247
GIV93,5,01/19/2017,"Your feet will thank you Extremely comfortable, you're feet will thank you.",78939602
GIV93,4,01/03/2017,"would buy again great buy! I would recommend to anyone, just hope that there are more colours in UK",77841458
GIV93,5,01/02/2017," I really like the Alphabounce design, although the white color didn't turn out like I expected it to be, I thought it will be the prefect white with silver shine or something like that.",77765702
GIV93,5,12/24/2016,Best shoe around I bought this for my son and he found it the most comfy shoe ever. We bought a 1/2 size larger than usual because the other reviews told us too and it fits great.,77319674
GIV93,5,12/13/2016,Such a great shoe Really comfortable and great on feet. Would reccomend,76787807
GIV93,4,12/05/2016,solid must have you will not want to put these down This shoe is bouncy and keeps you bouncing all day very nice shoe i even left my nike shoes theses are great!,76319249
GIV93,4,11/28/2016,"Good buy , but keep clean I liked this show but very hard to keep clean and wash",76030185
GIV93,5,11/26/2016,"Unique, comfortable, sturdy. More firm than the ultra boosts but still extremely comfortable, I love the textured look and they turn heads! Great pair of kicks.",75949811
GIV93,5,11/25/2016,Awesome purchase This shoe is awesome I have revived many compliments and they are good for running the white and grey get dirty very easy though,75924704
GIV93,4,11/19/2016,Best adidas shoe right now I love the look and comfort of the shoe but it is a half size to big and the materials are hard to clean if you watch out were you step and order the correct size amazing shoe.,75534067
GIV93,4,11/18/2016,Remarkably comfy to walk in. Shoes look A little different in person uncertain of the style,75250298
GIV93,4,11/17/2016,"Great looking shoe. Lovely looking shoe, I'm not a runner, bought them because I liked the look of them. They aren't as comfortable as Ultraboosts, but nothing is really. The material used is like a breathable neoprene, so it is very soft and stretchy. The shoes are slightly narrow, so if you have wide feet, maybe order your normal Adidas size.",75172805
GIV93,4,11/17/2016," Trainers are perfect, I have knee problems so struggle to get comfy footwear for training but these are really good so far, they seem well made but only used them a few times, would recommend",75137539
GIV93,5,11/16/2016,Nice style good price Bought these for my 16 year old son .He regularly buys training shoes and said that these were the most comfortable he'd ever bought .,75081885
GIV93,1,10/22/2016,Did not match my needs and look Picture looked better than actual. Did not feel it,73340037
GIV93,5,10/21/2016, Best shoe out right now! Perfect style and comfort!,73237047
GIV93,5,10/20/2016,"Bright, light and comfortable. My new favorite running shoe. I have the light gray, which shows up very well in low light road running. The material that surrounds your foot has a glove like   feel. Very comfortable, like the first bounce shoes did.",73132078
GIV93,5,10/17/2016," The shoes is perfect, comfortable and nice, delivery is quick.",72956751
GIV93,5,10/17/2016,Awesome shoes Very comfortable and light the colors are wonderful,72936577
GIV93,5,09/24/2016,Greatness Great shoe for the grind. Wear them every day to train. Must have.,71833007
